N,processes,trial,p,q,wall_time,cpu_time
4096,1,1,1,1,4.523415,4.504029
4096,1,2,1,1,4.518708,4.498414
4096,1,3,1,1,4.549404,4.530536
4096,1,4,1,1,4.538459,4.519266
4096,1,5,1,1,4.513455,4.494740
4096,1,6,1,1,4.556551,4.537712
4096,2,1,1,2,2.468719,2.455594
4096,2,2,1,2,2.520803,2.506271
4096,2,3,1,2,2.482767,2.467007
4096,2,4,1,2,2.477913,2.463559
4096,2,5,1,2,2.530689,2.516237
4096,2,6,1,2,2.480130,2.465767
4096,4,1,2,2,1.197125,1.145312
4096,4,2,2,2,1.192775,1.142896
4096,4,3,2,2,1.192513,1.143069
4096,4,4,2,2,1.194554,1.144787
4096,4,5,2,2,1.196266,1.146479
4096,4,6,2,2,1.195778,1.145511
4096,8,1,2,4,0.739197,0.683166
4096,8,2,2,4,0.739595,0.684047
4096,8,3,2,4,0.741066,0.684799
4096,8,4,2,4,0.740797,0.684724
4096,8,5,2,4,0.740795,0.684786
4096,8,6,2,4,0.742079,0.686776
4096,16,1,4,4,0.603755,0.557132
4096,16,2,4,4,0.571416,0.525492
4096,16,3,4,4,0.572613,0.526190
4096,16,4,4,4,0.571798,0.525870
4096,16,5,4,4,0.570504,0.525113
4096,16,6,4,4,0.571378,0.527163
