n,flops_per_sec
2,2.30326e+07
3,1.28571e+08
4,2.47423e+08
5,3.40909e+08
6,1.73913e+08
7,3.23077e+08
8,2.6087e+08
9,3.12139e+08
10,2.63158e+08
11,1.95266e+08
12,4.13793e+08
13,4.81481e+08
14,4.88372e+08
15,5.59006e+08
16,5.18919e+08
17,5.82857e+08
18,5.90164e+08
19,6.19565e+08
20,6.48649e+08
21,6.42857e+08
22,5.78947e+08
23,1.15966e+09
24,7.82609e+08
25,8.15217e+08
26,6.87225e+08
27,8.70968e+08
28,8.61538e+08
29,7.6652e+08
30,2.91262e+08
31,7.78243e+08
32,5.90769e+08
33,4.69194e+08
34,7.25979e+08
35,1.1413e+09
36,1.10769e+09
37,1.2e+09
38,1.61702e+09
39,6.51811e+08
40,5.39326e+08
41,9.84e+08
42,9.69231e+08
43,1.12664e+09
44,1.15284e+09
45,1.37755e+09
46,1.26606e+09
47,1.37561e+09
48,1.26872e+09
49,4.59375e+08
50,1.32159e+09
51,8.29268e+08
52,1.50725e+09
53,1.38865e+09
54,1.35e+09
55,1.32e+09
56,1.47368e+09
57,1.20848e+09
58,1.19178e+09
59,1.42169e+09
60,1.31868e+09
61,1.53138e+09
62,1.62445e+09
63,1.65789e+09
64,8.05031e+08
65,1.70306e+09
66,1.35154e+09
67,1.19643e+09
68,1.56322e+09
69,1.52768e+09
70,1.33758e+09
71,1.95413e+09
72,1.5941e+09
73,1.00922e+09
74,8.70588e+08
75,1.65441e+09
76,1.68266e+09
77,1.848e+09
78,8e+08
79,2.07895e+09
80,7.90774e+08
81,1.39655e+09
82,1.0082e+09
83,1.43103e+09
84,1.6e+09
85,1.51335e+09
86,6.60691e+08
87,1.00385e+09
88,1.43089e+09
89,1.02299e+09
90,9.9631e+08
91,1.29078e+09
92,1.37313e+09
93,1.39152e+09
94,1.13026e+09
95,1.22056e+09
96,1.35849e+09
97,1.44776e+09
98,1.42718e+09
99,1.36552e+09
100,1.72414e+09
101,2.77982e+09
102,2.69604e+09
103,3e+09
104,1.33619e+09
105,2.63598e+09
106,2.66109e+09
107,2.80349e+09
108,2.49231e+09
109,3.01382e+09
110,2.64e+09
111,3.06912e+09
112,3.26214e+09
113,3.12442e+09
114,2.87395e+09
115,3.50254e+09
116,3.0393e+09
117,2.94958e+09
118,3.10526e+09
119,3.46602e+09
120,2.75862e+09
121,8.69461e+08
122,1.87212e+09
123,3.41667e+09
124,2.44737e+09
125,2.55102e+09
126,2.57143e+09
127,2.42675e+09
128,1.02674e+09
129,3.37991e+09
130,3.25e+09
131,3.43231e+09
132,3.168e+09
133,2.625e+09
134,3.37815e+09
135,3.55263e+09
136,3.42857e+09
137,3.425e+09
138,3.46444e+09
139,3.64192e+09
140,3.23077e+09
141,3.91667e+09
142,3.56485e+09
143,3.73043e+09
144,3.32308e+09
145,3.34615e+09
146,3.504e+09
147,3.54217e+09
148,3.56627e+09
149,3.92105e+09
150,3.32103e+09
151,2.6185e+09
152,3.648e+09
153,3.85714e+09
154,3.40959e+09
155,3.875e+09
156,3.72908e+09
157,3.94142e+09
158,3.7619e+09
159,2.51715e+09
160,3.54244e+09
161,3.84861e+09
162,3.72414e+09
163,3.92771e+09
164,3.77011e+09
165,5.68966e+09
166,4.81159e+09
167,4.61751e+09
168,1.40782e+09
169,5.86127e+09
170,4.95146e+09
171,5.89655e+09
172,3.39474e+09
173,7.13402e+08
174,3.83824e+09
175,4.2e+09
176,2.70769e+09
177,3.17015e+09
178,2.46083e+09
179,2.24686e+09
180,1.04753e+09
181,2.85789e+09
182,4.16794e+09
183,3.49682e+09
184,4.0738e+09
185,3.92226e+09
186,3.95745e+09
187,4.29885e+09
188,4.01423e+09
189,4.32824e+09
190,4.20664e+09
191,4.40769e+09
192,4.43077e+09
193,3.44643e+09
194,4.12766e+09
195,4.46565e+09
196,4.33948e+09
197,4.74699e+09
198,4.55172e+09
199,4.57471e+09
200,4.42804e+09
201,4.26148e+09
202,4.47232e+09
203,4.49446e+09
204,3.64286e+09
205,4.34629e+09
206,1.99677e+09
207,1.90783e+09
208,2.80449e+09
209,4.44681e+09
210,4.46809e+09
211,4.48936e+09
212,3.54318e+09
213,3.683e+09
214,4.55319e+09
215,4.57447e+09
216,4.11429e+09
217,4.61702e+09
218,4.62191e+09
219,4.48464e+09
220,4.50512e+09
221,4.70213e+09
222,4.53061e+09
223,4.72792e+09
224,4.58703e+09
225,4.60751e+09
226,4.80851e+09
227,2.99341e+09
228,4.83392e+09
229,4.87234e+09
230,1.6707e+09
231,3.18621e+09
232,4.93617e+09
233,4.95745e+09
234,4.79181e+09
235,5e+09
236,4.83276e+09
237,5.04255e+09
238,5.06383e+09
239,5.29151e+09
240,3.90244e+09
241,4.93515e+09
242,4.77632e+09
243,5.15194e+09
244,4.21902e+09
245,4.83553e+09
246,4.68571e+09
247,5.25532e+09
248,4.04348e+09
249,1.83538e+09
250,4.77707e+09
251,5.34043e+09
252,4.48665e+09
253,1.45681e+09
254,4.01053e+09
255,5.0495e+09
256,4.05277e+09
257,5.07237e+09
258,5.09211e+09
259,3.86567e+09
260,5.13158e+09
261,5.34471e+09
262,4.39106e+09
263,1.86085e+09
264,3.56757e+09
265,5.40816e+09
266,4.09231e+09
267,3.43041e+09
268,4.94769e+09
269,5.14013e+09
270,5.14286e+09
271,4.4065e+09
272,5.19745e+09
273,5.04e+09
274,5.04294e+09
275,5.42763e+09
276,5.09538e+09
277,4.78963e+09
278,5.29524e+09
279,4.41689e+09
280,5e+09
281,5.17178e+09
282,5.37143e+09
283,5.58553e+09
284,5.22699e+09
285,5.625e+09
286,3.22556e+09
287,5.46667e+09
288,5.50318e+09
289,5.50476e+09
290,4.45013e+09
291,5.76238e+09
292,5.39077e+09
293,5.21662e+09
294,5.23442e+09
295,5.61905e+09
296,5.44785e+09
297,5.48308e+09
298,5.50154e+09
299,5.52e+09
300,5.34125e+09
301,5.57407e+09
302,5.37685e+09
303,5.57669e+09
304,4.66496e+09
305,2.59207e+09
306,5.46429e+09
307,5.3237e+09
308,4.86316e+09
309,5.34294e+09
310,5.18106e+09
311,5.72393e+09
312,5.39481e+09
313,5.5727e+09
314,4.56174e+09
315,5.44669e+09
316,5.81595e+09
317,5.66071e+09
318,5.67857e+09
319,5.67953e+09
320,5.53314e+09
321,4.80299e+09
322,5.75e+09
323,5.58501e+09
324,5.6185e+09
325,5.44693e+09
326,5.28649e+09
327,5.67052e+09
328,5.34783e+09
329,5.33514e+09
330,5.21053e+09
331,5.22632e+09
332,5.39837e+09
333,5.92878e+09
334,4.74882e+09
335,5.96439e+09
336,3.86207e+09
337,4.0521e+09
338,6.0178e+09
339,5.66574e+09
340,4.81132e+09
341,5.08955e+09
342,5.93064e+09
343,5.73259e+09
344,5.98261e+09
345,5.94828e+09
346,5.03883e+09
347,6.17804e+09
348,6e+09
349,5.69022e+09
350,6.03448e+09
351,5.8663e+09
352,5.70811e+09
353,5.93277e+09
354,6.12104e+09
355,6.13833e+09
356,5.94986e+09
357,5.80488e+09
358,5.98329e+09
359,6.01676e+09
360,6.24277e+09
361,6.05028e+09
362,6.06704e+09
363,5.40447e+09
364,5.9187e+09
365,5.93496e+09
366,5.95122e+09
367,5.95135e+09
368,5.96757e+09
369,6e+09
370,4.87912e+09
371,6.03252e+09
372,6.04878e+09
373,2.51461e+09
374,5.58209e+09
375,6.08108e+09
376,5.19816e+09
377,6.11351e+09
378,6.14634e+09
379,6.14595e+09
380,6.19565e+09
381,5.02418e+09
382,3.91126e+09
383,6.04737e+09
384,6.26087e+09
385,6.26016e+09
