n,flops_per_sec
2,1.8037e+06
3,2.30474e+07
4,5.20607e+07
5,3.52113e+07
6,4.08163e+07
7,4.40714e+07
8,4.69667e+07
9,5.03731e+07
10,6.1792e+07
11,7.08915e+07
12,8.16327e+07
13,7.40741e+07
14,9.53462e+07
15,6.50759e+07
16,3.54898e+07
17,5.81528e+07
18,5.42169e+07
19,6.81411e+07
20,7.48596e+07
21,7.18768e+07
22,9.54447e+07
23,7.40343e+07
24,7.76699e+07
25,7.48503e+07
26,9.10152e+07
27,6.96774e+07
28,6.93355e+07
29,7.5162e+07
30,8.71671e+07
31,1.03679e+08
32,7.98337e+07
33,1.00304e+08
34,8.51775e+07
35,7.96662e+07
36,8.3237e+07
37,8.117e+07
38,9.21584e+07
39,8.58401e+07
40,8.52575e+07
41,6.36152e+07
42,7.98479e+07
43,8.85381e+07
44,8.55754e+07
45,8.34106e+07
46,8.19721e+07
47,8.4761e+07
48,8.07401e+07
49,8.50694e+07
50,7.54148e+07
51,8.29718e+07
52,8.43928e+07
53,8.99321e+07
54,9.16031e+07
55,9.28009e+07
56,9.66072e+07
57,9.2233e+07
58,9.02256e+07
59,9.65367e+07
60,9.58466e+07
61,9.51638e+07
62,9.42249e+07
63,6.20486e+07
64,9.58084e+07
65,8.67052e+07
66,8.76494e+07
67,9.05405e+07
68,8.83117e+07
69,9.58999e+07
70,7.83436e+07
71,8.74743e+07
72,9.73411e+07
73,9.34101e+07
74,9.15464e+07
75,8.82353e+07
76,9.13828e+07
77,9.62701e+07
78,9.15851e+07
79,8.84493e+07
80,1.06454e+08
81,1.03448e+08
82,9.37143e+07
83,9.57692e+07
84,1.03089e+08
85,8.68677e+07
86,9.00209e+07
87,8.68263e+07
88,1.04142e+08
89,1.2663e+08
90,1.27449e+08
91,1.20583e+08
92,8.98876e+07
93,9.63731e+07
94,1.05401e+08
95,8.51636e+07
96,1.02473e+08
97,1.1502e+08
98,7.05374e+07
99,7.08239e+07
100,6.41917e+07
101,1.07428e+08
102,8.03677e+07
103,8.05317e+07
104,1.01927e+08
105,9.84067e+07
106,6.94475e+07
107,1.06291e+08
108,9.26773e+07
109,9.69751e+07
110,1.03093e+08
111,9.86228e+07
112,8.38323e+07
113,9.27116e+07
114,1.03605e+08
115,9.51199e+07
116,9.04483e+07
117,9.62435e+07
118,1.11813e+08
119,8.18151e+07
120,9.55668e+07
121,9.95339e+07
122,1.06643e+08
123,8.88514e+07
124,1.0255e+08
125,8.85792e+07
126,9.6e+07
127,1.14021e+08
128,9.76354e+07
129,1.03962e+08
130,9.95533e+07
131,9.7205e+07
132,1.16762e+08
133,1.08365e+08
134,1.04756e+08
135,1.06397e+08
136,1.16339e+08
137,9.30075e+07
138,9.56562e+07
139,8.95042e+07
140,9.99286e+07
141,1.09232e+08
142,1.06036e+08
143,1.05315e+08
144,8.09747e+07
145,1.12056e+08
146,8.95797e+07
147,9.74801e+07
148,9.52994e+07
149,8.53868e+07
150,9.53592e+07
151,1.02292e+08
152,1.06219e+08
153,1.27059e+08
154,9.13947e+07
155,1.20576e+08
156,9.1326e+07
157,1.01432e+08
158,9.19496e+07
159,1.08335e+08
160,1.02236e+08
161,1.02028e+08
162,1.01695e+08
163,1.3154e+08
164,1.36401e+08
165,1.06018e+08
166,1.08888e+08
167,9.81391e+07
168,1.33087e+08
169,1.03385e+08
170,1.19354e+08
171,1.37276e+08
172,1.22784e+08
173,1.32482e+08
174,1.3764e+08
175,1.32827e+08
176,9.23723e+07
177,1.07938e+08
178,1.03891e+08
179,9.77964e+07
180,1.05263e+08
181,1.26914e+08
182,1.23292e+08
183,1.30917e+08
184,1.1685e+08
185,1.08187e+08
186,1.07401e+08
187,1.0321e+08
188,1.03944e+08
189,9.69065e+07
190,8.45321e+07
191,1.14945e+08
192,8.47308e+07
193,1.16055e+08
194,8.60501e+07
195,1.23574e+08
196,1.34446e+08
197,1.38456e+08
198,1.3851e+08
199,1.38579e+08
