n,flops_per_sec
2,4.95195e+06
3,9.40111e+07
4,1.23345e+08
5,1.33586e+08
6,1.38667e+08
7,1.45022e+08
8,6.13669e+07
9,1.87702e+08
10,1.95161e+08
11,2.00885e+08
12,2.21606e+08
13,9.27366e+07
14,1.67282e+08
15,1.5773e+08
16,1.63141e+08
17,2.27333e+08
18,2.27703e+08
19,2.0269e+08
20,1.61385e+08
21,2.30825e+08
22,2.31064e+08
23,2.12415e+08
24,2.04443e+08
25,2.00405e+08
26,2.23674e+08
27,1.78975e+08
28,1.83331e+08
29,1.71214e+08
30,1.976e+08
31,2.36334e+08
32,1.32716e+08
33,2.00341e+08
34,2.18969e+08
35,1.85488e+08
36,2.367e+08
37,1.97748e+08
38,2.1198e+08
39,1.4555e+08
40,2.07952e+08
41,2.03523e+08
42,2.21308e+08
43,2.17284e+08
44,2.33909e+08
45,2.17654e+08
46,2.36122e+08
47,2.2629e+08
48,2.18557e+08
49,2.27737e+08
50,2.36101e+08
51,2.34268e+08
52,2.36544e+08
53,2.28077e+08
54,2.33019e+08
55,2.35158e+08
56,2.35411e+08
57,2.28088e+08
58,2.35064e+08
59,1.99967e+08
60,1.3875e+08
61,1.55628e+08
62,1.5774e+08
63,2.17196e+08
64,2.16287e+08
65,1.85385e+08
66,2.237e+08
67,2.02179e+08
68,2.31101e+08
69,2.33216e+08
70,2.2808e+08
71,2.21993e+08
72,2.09258e+08
73,2.31612e+08
74,2.3415e+08
75,2.32655e+08
76,2.35499e+08
77,2.26073e+08
78,2.28832e+08
79,2.16163e+08
80,2.29596e+08
81,2.08868e+08
82,2.2343e+08
83,2.09806e+08
84,2.20214e+08
85,2.22937e+08
86,2.12978e+08
87,2.21657e+08
88,2.12984e+08
89,2.04335e+08
90,2.36119e+08
91,2.33446e+08
92,2.35657e+08
93,2.338e+08
94,2.37498e+08
95,2.36375e+08
96,2.28718e+08
97,2.25544e+08
98,2.14897e+08
99,2.21772e+08
100,2.19361e+08
101,2.2627e+08
102,2.10945e+08
103,2.33004e+08
104,2.34945e+08
105,2.34597e+08
106,2.25388e+08
107,2.27616e+08
108,2.30759e+08
109,2.23583e+08
111,2.25254e+08
112,2.22826e+08
113,2.24539e+08
114,2.10335e+08
115,2.09039e+08
116,2.21746e+08
117,2.1369e+08
118,1.68404e+08
119,2.35437e+08
120,2.38217e+08
121,2.37434e+08
122,2.14898e+08
123,2.21157e+08
124,2.16108e+08
125,2.11435e+08
126,2.22734e+08
127,2.09779e+08
128,2.20778e+08
129,2.15225e+08
130,2.2048e+08
131,2.22351e+08
132,2.17528e+08
133,2.25009e+08
134,2.24127e+08
135,2.13108e+08
136,2.21704e+08
137,2.22704e+08
138,2.28495e+08
139,2.3192e+08
140,2.19569e+08
141,2.22567e+08
142,2.29454e+08
143,2.24579e+08
144,2.23519e+08
145,2.24367e+08
146,2.213e+08
147,2.26465e+08
148,2.22389e+08
149,2.35245e+08
150,2.23002e+08
151,2.29415e+08
152,2.19189e+08
153,2.25337e+08
154,2.28909e+08
155,2.2372e+08
156,2.2326e+08
157,2.22813e+08
158,2.2726e+08
159,2.20461e+08
160,2.22805e+08
161,2.33593e+08
162,2.27617e+08
163,2.18587e+08
164,2.2681e+08
165,2.33377e+08
166,2.31362e+08
167,2.24662e+08
168,2.2742e+08
169,2.2606e+08
170,2.24735e+08
171,2.24727e+08
172,2.25967e+08
173,2.315e+08
174,2.31095e+08
175,2.26602e+08
176,2.22992e+08
177,2.24445e+08
178,2.31855e+08
179,2.31613e+08
180,2.26592e+08
181,2.30266e+08
182,2.24265e+08
183,2.25621e+08
184,2.33233e+08
185,2.30416e+08
186,2.28776e+08
187,2.303e+08
188,2.29882e+08
189,2.25803e+08
190,2.29267e+08
191,2.3185e+08
192,2.21101e+08
193,2.31849e+08
194,2.33603e+08
195,2.34921e+08
196,2.29326e+08
197,2.25558e+08
198,2.31531e+08
199,2.34353e+08
200,2.20294e+08
201,2.34905e+08
202,2.30799e+08
203,2.29196e+08
204,2.31836e+08
205,2.30348e+08
206,2.32384e+08
207,2.22355e+08
208,2.29805e+08
209,2.28864e+08
210,2.29247e+08
211,2.30061e+08
212,2.34548e+08
213,2.22858e+08
214,2.24379e+08
215,2.27173e+08
216,2.32366e+08
217,2.35674e+08
218,2.28734e+08
219,2.33659e+08
220,2.29521e+08
221,2.31099e+08
222,2.30625e+08
223,2.28101e+08
224,2.31077e+08
225,2.15278e+08
226,2.28998e+08
227,2.30326e+08
228,2.20409e+08
229,2.29397e+08
230,2.2201e+08
231,2.30607e+08
232,2.29224e+08
233,2.2805e+08
234,2.30785e+08
236,2.32382e+08
237,2.31488e+08
238,2.26463e+08
239,2.29471e+08
240,2.26942e+08
241,2.287e+08
242,2.32756e+08
243,2.30429e+08
244,2.32032e+08
245,2.31871e+08
246,2.32446e+08
247,2.26727e+08
248,2.32747e+08
249,2.27491e+08
250,2.30563e+08
251,2.2167e+08
252,2.30005e+08
253,2.28207e+08
254,2.31806e+08
255,2.27236e+08
256,2.11701e+08
257,2.30688e+08
258,2.27269e+08
259,2.30638e+08
260,2.33646e+08
261,2.29378e+08
262,2.30755e+08
