n,flops_per_sec
2,1.92661e+08
3,3.77622e+08
4,7.62836e+08
5,1.04439e+09
6,1.35714e+09
7,1.13553e+09
8,1.2487e+09
9,1.37094e+09
10,1.54511e+09
11,1.41846e+09
12,1.54003e+09
13,1.43028e+09
14,1.41086e+09
15,1.38901e+09
16,1.48596e+09
17,1.37952e+09
18,1.52608e+09
19,1.46512e+09
20,1.80092e+09
21,1.65339e+09
22,1.91829e+09
23,1.11264e+09
24,1.77653e+09
25,1.88221e+09
26,1.87912e+09
27,1.81687e+09
28,1.94461e+09
29,1.91994e+09
30,1.98014e+09
31,1.87844e+09
32,1.89461e+09
33,1.57597e+09
34,1.94577e+09
35,1.95516e+09
36,1.97963e+09
37,1.87136e+09
38,2.06291e+09
39,2.02134e+09
40,2.00604e+09
41,1.9616e+09
42,1.81645e+09
43,1.79055e+09
44,2.03972e+09
45,1.94898e+09
46,2.01588e+09
47,2.03545e+09
48,1.5908e+09
49,7.12217e+08
50,1.28839e+09
51,1.66855e+09
52,1.16747e+09
53,1.49027e+09
54,1.45797e+09
55,1.92651e+09
56,1.913e+09
57,2.18502e+09
58,2.50748e+09
59,2.87718e+09
60,3.02268e+09
61,2.59915e+09
62,2.66765e+09
63,2.49054e+09
64,1.35766e+09
65,2.01623e+09
66,2.45176e+09
67,2.94567e+09
68,1.99117e+09
69,2.73215e+09
70,3.06127e+09
71,2.9775e+09
72,2.9898e+09
73,2.65995e+09
74,2.75841e+09
75,2.03076e+09
76,2.87407e+09
77,2.35677e+09
78,2.72102e+09
79,2.82849e+09
80,3.02304e+09
81,2.97725e+09
82,2.28244e+09
83,3.03334e+09
84,2.19849e+09
85,2.12761e+09
86,2.99009e+09
87,2.59472e+09
88,3.04054e+09
89,2.84031e+09
90,1.74052e+09
91,2.64281e+09
92,2.56638e+09
93,2.25949e+09
94,3.06974e+09
95,2.01805e+09
96,2.64787e+09
97,2.708e+09
98,3.04995e+09
99,3.03949e+09
100,1.46725e+09
101,2.43219e+09
102,2.83195e+09
103,2.78515e+09
104,2.09364e+09
105,2.28086e+09
106,2.48867e+09
107,2.62704e+09
108,2.51224e+09
109,3.00268e+09
110,3.04204e+09
111,2.88504e+09
112,2.67212e+09
113,3.05554e+09
114,2.15295e+09
115,2.55806e+09
116,2.56194e+09
117,2.54165e+09
118,2.54927e+09
119,2.82515e+09
120,2.53908e+09
121,2.44109e+09
122,2.54803e+09
123,2.63528e+09
124,3.08135e+09
125,2.97829e+09
126,2.71138e+09
127,3.06329e+09
128,1.15563e+09
129,2.53245e+09
130,3.08625e+09
131,2.75662e+09
132,2.84445e+09
133,3.04669e+09
134,3.02514e+09
135,2.88945e+09
136,2.65536e+09
137,3.0739e+09
138,2.47912e+09
139,3.00337e+09
140,2.68004e+09
141,2.78953e+09
142,3.05638e+09
143,2.82096e+09
144,3.0122e+09
145,3.00428e+09
146,2.18504e+09
147,2.90976e+09
148,2.77895e+09
149,3.06937e+09
150,2.51564e+09
151,1.75356e+09
152,1.77515e+09
153,2.17468e+09
154,2.2036e+09
155,2.52747e+09
156,2.53507e+09
157,2.06029e+09
158,2.83027e+09
159,2.55795e+09
160,1.69123e+09
161,2.11222e+09
162,3.06131e+09
163,2.74348e+09
164,2.87417e+09
165,2.87172e+09
166,2.57787e+09
167,2.27318e+09
168,2.90708e+09
169,2.84492e+09
170,1.53237e+09
171,1.60077e+09
172,2.01504e+09
173,2.96448e+09
174,3.08693e+09
175,3.06877e+09
176,3.08719e+09
177,2.95734e+09
178,2.32781e+09
179,3.0437e+09
180,2.9409e+09
181,2.94026e+09
182,2.88282e+09
183,2.80991e+09
184,3.0172e+09
185,2.89201e+09
186,2.00912e+09
187,2.3568e+09
188,2.58905e+09
189,2.36135e+09
190,2.61936e+09
191,2.41727e+09
192,1.31922e+09
193,2.64261e+09
194,2.33315e+09
195,1.59747e+09
196,2.22335e+09
197,1.94054e+09
198,2.52023e+09
199,2.36455e+09
200,2.20067e+09
201,1.80321e+09
202,1.42386e+09
203,2.64973e+09
204,2.56776e+09
205,1.36155e+09
206,2.51849e+09
207,2.54219e+09
208,2.81422e+09
209,2.40376e+09
210,2.36252e+09
211,2.68602e+09
212,2.38248e+09
213,2.56563e+09
214,2.49727e+09
215,2.51368e+09
216,2.38963e+09
217,2.34463e+09
218,2.40998e+09
219,2.37518e+09
220,2.19414e+09
221,2.29473e+09
222,2.04564e+09
223,2.25276e+09
224,1.57775e+09
225,2.22173e+09
226,2.40206e+09
227,2.22299e+09
228,2.51253e+09
229,2.4514e+09
230,2.52277e+09
231,2.40396e+09
232,2.49552e+09
233,2.1846e+09
234,2.12335e+09
235,2.56258e+09
236,2.38737e+09
237,2.33881e+09
238,2.32504e+09
239,1.72949e+09
240,2.70568e+09
241,1.59709e+09
242,2.44675e+09
243,2.44004e+09
244,2.11582e+09
245,2.23804e+09
246,2.03567e+09
247,2.17007e+09
248,2.59263e+09
249,2.30691e+09
250,2.47199e+09
251,2.33463e+09
252,2.6248e+09
253,2.23193e+09
254,2.46832e+09
255,2.4573e+09
256,9.38653e+08
257,1.85941e+09
258,2.28116e+09
259,2.22661e+09
260,2.33687e+09
261,2.02266e+09
262,1.93191e+09
263,2.08339e+09
264,2.03893e+09
265,1.9494e+09
266,2.05586e+09
267,1.84054e+09
268,2.09733e+09
269,2.0403e+09
270,1.88709e+09
271,1.91965e+09
272,2.00373e+09
273,1.52351e+09
274,2.02161e+09
275,1.99327e+09
276,1.97196e+09
277,1.93041e+09
278,1.90804e+09
279,1.73984e+09
280,1.90353e+09
281,1.8858e+09
282,1.84809e+09
283,1.83191e+09
284,1.79911e+09
285,1.72208e+09
286,1.77276e+09
287,1.68452e+09
288,1.33643e+09
289,1.73669e+09
290,1.75631e+09
291,1.82739e+09
292,1.88571e+09
293,1.6707e+09
294,1.83252e+09
295,1.57855e+09
296,1.58662e+09
297,1.59437e+09
298,1.57321e+09
299,1.60343e+09
300,1.55149e+09
301,1.49955e+09
302,1.55838e+09
303,1.59997e+09
304,1.44041e+09
305,1.67238e+09
306,1.64848e+09
307,1.58175e+09
308,1.63137e+09
309,1.50932e+09
310,1.51156e+09
311,1.49756e+09
312,1.49403e+09
313,1.499e+09
314,1.48718e+09
315,1.46732e+09
316,1.47562e+09
317,1.61229e+09
318,1.40582e+09
319,1.33364e+09
320,1.33818e+09
321,1.34275e+09
322,1.42574e+09
323,1.52941e+09
324,1.36348e+09
325,1.34744e+09
326,1.51703e+09
327,1.42684e+09
328,1.41133e+09
329,1.49621e+09
330,1.38702e+09
331,1.50138e+09
332,1.39475e+09
333,1.3454e+09
334,1.39406e+09
335,1.3279e+09
336,1.34431e+09
338,1.46349e+09
339,1.57076e+09
340,1.45982e+09
341,7.96182e+08
342,1.46681e+09
343,1.46473e+09
344,1.44992e+09
345,1.38077e+09
346,1.41475e+09
347,1.37783e+09
348,1.34575e+09
349,1.34374e+09
350,1.29416e+09
351,1.32769e+09
352,1.30469e+09
353,1.34548e+09
354,1.33771e+09
355,1.35463e+09
356,1.45872e+09
357,1.41301e+09
358,1.33202e+09
359,1.34371e+09
360,1.34673e+09
361,1.38296e+09
362,1.36369e+09
363,1.30147e+09
364,1.34942e+09
365,1.43593e+09
366,1.45287e+09
367,1.31511e+09
368,1.33171e+09
369,1.33217e+09
370,1.3316e+09
371,1.30928e+09
372,1.4493e+09
373,1.40157e+09
374,1.32991e+09
375,1.31738e+09
376,1.34159e+09
377,1.28887e+09
378,1.34302e+09
379,1.32375e+09
380,1.33718e+09
381,1.42734e+09
382,1.30348e+09
383,1.24032e+09
384,1.1625e+09
385,1.23957e+09
386,1.30809e+09
387,1.32774e+09
388,1.35302e+09
389,1.32482e+09
390,1.4159e+09
391,1.35673e+09
392,1.34019e+09
393,1.32296e+09
394,1.44013e+09
395,1.33188e+09
396,1.34836e+09
397,1.30857e+09
398,1.38861e+09
399,1.34398e+09
400,1.3235e+09
401,1.33174e+09
402,1.33705e+09
403,1.32448e+09
404,1.3504e+09
405,1.23572e+09
406,1.33771e+09
407,1.32796e+09
408,1.33497e+09
409,1.40944e+09
410,1.38739e+09
411,1.36091e+09
412,1.3299e+09
413,1.36122e+09
414,1.32731e+09
415,1.33539e+09
416,1.34167e+09
417,1.3242e+09
418,1.30657e+09
419,1.37495e+09
420,1.34607e+09
421,1.34235e+09
422,1.34044e+09
423,1.32868e+09
424,1.3401e+09
425,1.33687e+09
426,1.28142e+09
427,1.32351e+09
428,1.3288e+09
429,1.32257e+09
430,1.32353e+09
431,1.28656e+09
432,1.31865e+09
433,1.29777e+09
434,1.25037e+09
435,1.21309e+09
436,1.30382e+09
437,1.30675e+09
438,1.32727e+09
439,1.30268e+09
440,1.32748e+09
441,1.31728e+09
442,1.28428e+09
443,1.31134e+09
444,1.31267e+09
445,1.31924e+09
446,1.30527e+09
447,1.29658e+09
448,1.3077e+09
449,1.28148e+09
450,1.32428e+09
451,1.29144e+09
452,1.28347e+09
453,1.33923e+09
454,1.28812e+09
455,1.32371e+09
456,1.32076e+09
457,1.26195e+09
458,1.31034e+09
459,1.36796e+09
460,1.31717e+09
461,1.29626e+09
462,1.31515e+09
463,1.29582e+09
464,1.32655e+09
465,1.30125e+09
466,1.30889e+09
467,1.31261e+09
468,1.31819e+09
469,1.30504e+09
470,1.29433e+09
471,1.29256e+09
472,1.31218e+09
473,1.30147e+09
475,1.28119e+09
476,1.30227e+09
477,1.25979e+09
478,1.26405e+09
479,1.28857e+09
480,1.23757e+09
481,1.21848e+09
482,1.25456e+09
483,1.18751e+09
484,1.28001e+09
485,1.26556e+09
486,1.19996e+09
487,1.28706e+09
488,1.28292e+09
489,1.26229e+09
490,1.27547e+09
491,1.2397e+09
492,1.29628e+09
493,1.28852e+09
494,1.23156e+09
495,1.12854e+09
496,1.25274e+09
497,1.16207e+09
498,1.12614e+09
499,1.12556e+09
500,1.19141e+09
501,1.28811e+09
502,1.17377e+09
503,1.09735e+09
504,1.17569e+09
505,1.13013e+09
506,1.15045e+09
507,1.0531e+09
508,1.14947e+09
509,1.14735e+09
510,1.13876e+09
511,2.72217e+09
512,1.37979e+08
