n,flops_per_sec
2,7.53634e+06
3,9.81818e+07
4,1.43679e+08
5,1.62624e+08
6,1.709e+08
7,1.73052e+08
8,1.61785e+08
9,1.62414e+08
10,1.70177e+08
11,2.54684e+08
12,2.56203e+08
13,2.57298e+08
14,2.12442e+08
15,1.84425e+08
16,2.30766e+08
17,1.27625e+08
18,1.76132e+08
19,1.41487e+08
20,1.71308e+08
21,1.92726e+08
22,1.95955e+08
23,2.20217e+08
24,1.83457e+08
25,1.3279e+08
26,2.47174e+08
27,2.29408e+08
28,2.43514e+08
29,1.42013e+08
30,2.15935e+08
31,2.38454e+08
32,2.37108e+08
33,2.4367e+08
34,1.78903e+08
35,1.65083e+08
36,1.93214e+08
37,2.41617e+08
38,1.23019e+08
39,1.91312e+08
40,2.1834e+08
41,2.28502e+08
42,1.94892e+08
43,2.36067e+08
44,2.46526e+08
45,2.3743e+08
46,2.35438e+08
47,1.78294e+08
48,1.86074e+08
49,2.09307e+08
50,2.24565e+08
51,1.78101e+08
52,2.35037e+08
53,2.17994e+08
54,1.92685e+08
55,2.24892e+08
56,2.4061e+08
57,2.39331e+08
58,2.46669e+08
59,2.51756e+08
60,2.29927e+08
61,2.46918e+08
62,2.39105e+08
63,2.40319e+08
64,2.34349e+08
65,2.35393e+08
66,2.21519e+08
67,1.64352e+08
68,2.21817e+08
69,1.92404e+08
70,2.24105e+08
71,2.44711e+08
72,2.14542e+08
73,2.21275e+08
74,2.43706e+08
75,2.38911e+08
76,2.38273e+08
77,2.30911e+08
78,2.42178e+08
79,2.25743e+08
80,1.80638e+08
81,2.0889e+08
82,2.2961e+08
83,1.99384e+08
84,2.2485e+08
85,2.23383e+08
86,2.20476e+08
87,2.27956e+08
88,2.22217e+08
89,2.16026e+08
90,1.98375e+08
91,2.39746e+08
92,1.98816e+08
93,2.43464e+08
94,2.3704e+08
95,2.4562e+08
96,2.3397e+08
97,2.3426e+08
98,2.39123e+08
99,2.09033e+08
100,2.37221e+08
101,1.46503e+08
102,1.70645e+08
103,2.17432e+08
104,2.52714e+08
105,2.49382e+08
106,2.53936e+08
107,2.48175e+08
108,2.54739e+08
109,2.03474e+08
110,2.30821e+08
111,2.16782e+08
112,2.2469e+08
113,2.37917e+08
114,2.29086e+08
115,2.32032e+08
116,2.06459e+08
117,2.24395e+08
118,2.37872e+08
119,2.34984e+08
120,2.38154e+08
121,2.44905e+08
122,2.33788e+08
123,2.39773e+08
124,2.2799e+08
125,2.08618e+08
126,2.31736e+08
127,2.31598e+08
128,2.35461e+08
129,2.39466e+08
130,2.32302e+08
131,2.38813e+08
132,2.29332e+08
133,2.35146e+08
134,2.41334e+08
135,2.47139e+08
136,2.42023e+08
137,2.42931e+08
138,2.41652e+08
139,2.42644e+08
140,2.37962e+08
141,2.41303e+08
142,2.48837e+08
143,2.34406e+08
144,2.49259e+08
145,2.41676e+08
146,2.45194e+08
147,2.43078e+08
148,2.43686e+08
149,2.51925e+08
150,2.41959e+08
151,2.28364e+08
152,2.41535e+08
153,2.46411e+08
154,2.33572e+08
155,2.28183e+08
156,2.30024e+08
157,2.51838e+08
158,2.52883e+08
159,2.34823e+08
160,2.42152e+08
161,2.43993e+08
162,2.47246e+08
163,2.44791e+08
164,2.49192e+08
165,2.45766e+08
166,2.43188e+08
167,2.38026e+08
168,2.37855e+08
169,2.48798e+08
170,2.52329e+08
171,2.47867e+08
172,2.46613e+08
173,2.37416e+08
174,2.44192e+08
175,2.40252e+08
176,2.44763e+08
177,2.46396e+08
178,2.44837e+08
179,2.5188e+08
180,2.4632e+08
181,2.43124e+08
182,2.47524e+08
183,2.42514e+08
184,2.53192e+08
185,2.4711e+08
186,2.49509e+08
187,2.49592e+08
188,2.54231e+08
189,2.43813e+08
190,2.54897e+08
191,2.49008e+08
192,2.53665e+08
193,2.43126e+08
194,2.47723e+08
195,2.51939e+08
196,2.46244e+08
197,2.52989e+08
198,2.45142e+08
199,2.38373e+08
200,2.45081e+08
201,2.47149e+08
202,2.49679e+08
203,2.45389e+08
204,2.45218e+08
205,2.54852e+08
206,2.39541e+08
207,2.48113e+08
208,2.52456e+08
209,2.49234e+08
210,2.51369e+08
211,2.52128e+08
212,2.50026e+08
213,2.46603e+08
214,2.53447e+08
215,2.48805e+08
216,2.46345e+08
217,2.51149e+08
218,2.53978e+08
219,2.52643e+08
220,2.47356e+08
221,2.47908e+08
222,2.48726e+08
223,2.46311e+08
224,2.50985e+08
225,2.45705e+08
226,2.50248e+08
227,2.519e+08
228,2.5003e+08
229,2.52463e+08
230,2.4579e+08
232,2.51633e+08
233,2.53947e+08
234,2.4859e+08
235,2.519e+08
236,2.47771e+08
237,2.51649e+08
238,2.51352e+08
239,2.51642e+08
240,2.47849e+08
241,2.54041e+08
242,2.50038e+08
243,2.50712e+08
244,2.50049e+08
245,2.50227e+08
246,2.50856e+08
247,2.5146e+08
248,2.4875e+08
249,2.54073e+08
250,2.44046e+08
251,2.49531e+08
252,2.51224e+08
253,2.45862e+08
254,2.52504e+08
255,2.50305e+08
256,2.52083e+08
257,2.53481e+08
258,2.51147e+08
259,2.50043e+08
260,2.52889e+08
261,2.48674e+08
262,2.48861e+08
263,2.49207e+08
264,2.51042e+08
265,2.50662e+08
266,2.53308e+08
267,2.51754e+08
268,2.50303e+08
269,2.45153e+08
270,2.46678e+08
271,2.50164e+08
272,2.5032e+08
273,2.37834e+08
274,2.44124e+08
275,2.47389e+08
276,2.53721e+08
277,2.48593e+08
278,2.49285e+08
279,6.60774e+09
280,2.33377e+08
281,2.26392e+08
282,2.53281e+08
283,2.37372e+08
284,2.48856e+08
285,2.44519e+08
286,2.48515e+08
287,2.46851e+08
288,2.27346e+08
289,2.50068e+08
290,2.48972e+08
291,2.46846e+08
292,2.4115e+08
293,2.45149e+08
294,2.46968e+08
295,2.48574e+08
296,2.4911e+08
297,2.51168e+08
298,2.50882e+08
299,2.48082e+08
300,2.50572e+08
301,2.5036e+08
302,2.47804e+08
303,2.51145e+08
304,2.52926e+08
305,2.50253e+08
306,2.52958e+08
307,2.51133e+08
308,2.49054e+08
309,2.53498e+08
310,2.50206e+08
311,9.0753e+08
312,2.47327e+08
313,2.5067e+08
314,2.47365e+08
315,2.44931e+08
316,2.49352e+08
317,2.50533e+08
318,2.50468e+08
319,2.48783e+08
320,2.49197e+08
321,2.4896e+08
322,2.52258e+08
323,2.49406e+08
324,2.43972e+08
325,2.41587e+08
326,2.38158e+08
327,2.52927e+08
328,2.43395e+08
329,2.47717e+08
330,2.50442e+08
331,2.50987e+08
332,2.46809e+08
333,2.52475e+08
334,2.5082e+08
335,7.33169e+08
336,2.50681e+08
337,2.50337e+08
338,2.49595e+08
339,2.47461e+08
340,2.53014e+08
341,2.49394e+08
342,2.51491e+08
343,2.51411e+08
344,2.48912e+08
345,2.49316e+08
346,2.50584e+08
347,2.49317e+08
348,2.44099e+08
349,2.4762e+08
350,2.4379e+08
351,2.47042e+08
352,2.47423e+08
353,2.49453e+08
354,2.47263e+08
355,5.04822e+08
356,2.47173e+08
357,2.47873e+08
358,2.46664e+08
359,2.49905e+08
360,2.50984e+08
361,2.50843e+08
362,2.50656e+08
363,2.53064e+08
364,2.53721e+08
365,2.5163e+08
366,2.4815e+08
367,2.48671e+08
368,2.46948e+08
369,2.46643e+08
370,2.44949e+08
371,2.50108e+08
372,2.50516e+08
373,4.63855e+08
374,2.49636e+08
375,2.4955e+08
376,2.50099e+08
377,2.50645e+08
378,2.53456e+08
379,2.51227e+08
380,2.50795e+08
381,2.48475e+08
382,2.50174e+08
383,2.50926e+08
384,2.46148e+08
385,2.45533e+08
386,2.3954e+08
387,2.46862e+08
388,4.06699e+08
389,2.52595e+08
390,2.51649e+08
391,2.50124e+08
392,2.49826e+08
393,2.48389e+08
394,2.48024e+08
395,2.50252e+08
396,2.5102e+08
397,2.48374e+08
398,2.36328e+08
399,2.49744e+08
400,2.52964e+08
401,2.53189e+08
402,4.25529e+08
403,2.54392e+08
404,2.47274e+08
405,2.48245e+08
406,2.4587e+08
407,2.48399e+08
408,2.43319e+08
409,2.35161e+08
410,2.33637e+08
411,2.37826e+08
412,2.39895e+08
413,2.40962e+08
414,3.43177e+08
415,2.38201e+08
416,2.4407e+08
417,2.4675e+08
418,2.45683e+08
419,2.50238e+08
420,2.51781e+08
421,2.49195e+08
422,2.4852e+08
423,2.47793e+08
424,2.51507e+08
425,2.49898e+08
426,2.51073e+08
427,2.51684e+08
428,2.52035e+08
429,2.51536e+08
430,2.50152e+08
431,2.53248e+08
432,2.52325e+08
433,2.50721e+08
434,2.48931e+08
435,2.35385e+08
436,3.15039e+08
437,2.3249e+08
438,2.35362e+08
439,2.43445e+08
440,2.30165e+08
441,2.35255e+08
442,2.32987e+08
443,2.36472e+08
444,2.43944e+08
445,3.25706e+08
446,2.47629e+08
447,2.46656e+08
448,2.45984e+08
449,2.4703e+08
450,2.50275e+08
451,2.46916e+08
452,2.49455e+08
453,2.48553e+08
454,2.48076e+08
455,2.45936e+08
456,2.4681e+08
457,2.4823e+08
458,2.47469e+08
459,2.49537e+08
460,2.49592e+08
461,2.49112e+08
462,2.51098e+08
463,2.50506e+08
464,2.51098e+08
465,2.5e+08
466,2.52473e+08
467,4.7406e+08
468,2.61976e+08
469,2.70501e+08
470,2.7175e+08
471,2.69025e+08
472,2.60338e+08
473,2.4444e+08
474,2.43808e+08
475,2.30216e+08
476,2.33779e+08
477,2.31813e+08
478,2.37815e+08
479,2.69335e+08
480,2.55092e+08
481,2.70789e+08
482,2.53622e+08
483,2.54513e+08
484,2.53881e+08
485,2.56292e+08
486,2.94357e+08
487,2.54814e+08
488,2.47622e+08
489,2.36196e+08
490,2.46775e+08
491,2.43174e+08
492,2.43773e+08
493,2.48315e+08
494,3.11828e+08
495,2.56379e+08
496,2.34094e+08
497,2.45976e+08
498,2.50278e+08
499,2.47744e+08
500,2.5241e+08
501,2.52643e+08
502,2.53438e+08
503,2.32769e+08
504,2.52132e+08
505,2.49327e+08
506,2.51162e+08
507,2.97938e+08
508,2.50493e+08
509,2.50323e+08
510,2.49871e+08
511,2.51074e+08
512,2.48516e+08
