n,flops_per_sec
2,1.82213e+08
3,3.96476e+08
4,9.46889e+08
5,1.25918e+09
6,1.68889e+09
7,1.81685e+09
8,2.66371e+09
9,2.67243e+09
10,3.14827e+09
11,3.02871e+09
12,4.23754e+09
13,3.98272e+09
14,4.32427e+09
15,4.13284e+09
16,5.71134e+09
17,4.79719e+09
18,5.28783e+09
19,5.00032e+09
20,5.20182e+09
21,5.54608e+09
22,5.77011e+09
23,5.39612e+09
24,6.81013e+09
25,6.17391e+09
26,6.46825e+09
27,5.94136e+09
28,6.93589e+09
29,6.31055e+09
30,6.93813e+09
31,6.29651e+09
32,5.52037e+09
33,7.02777e+09
34,7.122e+09
35,6.72473e+09
36,7.71611e+09
37,6.01074e+09
38,7.07883e+09
39,7.08158e+09
40,8.03286e+09
41,7.36942e+09
42,7.6658e+09
43,7.3651e+09
44,8.25441e+09
45,6.81751e+09
46,7.90564e+09
47,7.58917e+09
48,8.49097e+09
49,6.74421e+09
50,8.11258e+09
51,7.81981e+09
52,8.66289e+09
53,7.24405e+09
54,8.30271e+09
55,8.01606e+09
56,8.82699e+09
57,7.50209e+09
58,8.466e+09
59,8.18431e+09
60,8.97607e+09
61,8.40058e+09
62,8.6001e+09
63,7.57699e+09
64,6.05119e+09
65,8.79507e+09
66,8.74778e+09
67,8.48201e+09
68,6.2289e+09
69,8.22305e+09
70,8.86915e+09
71,6.48988e+09
72,3.51932e+09
73,9.02601e+09
74,4.74095e+09
75,6.53393e+09
76,5.67518e+09
77,8.25173e+09
78,4.41006e+09
79,6.78826e+09
80,4.73492e+09
81,6.44133e+09
82,7.29547e+09
83,7.49184e+09
84,4.76916e+09
85,7.12517e+09
86,6.94888e+09
87,6.23993e+09
88,5.30384e+09
89,4.3994e+09
90,6.06537e+09
91,9.00217e+09
92,6.27968e+09
93,9.36493e+09
94,7.24545e+09
95,7.59875e+09
96,6.69625e+09
97,9.08804e+09
98,9.35463e+09
99,8.67551e+09
100,6.29895e+09
101,9.37784e+09
102,9.10696e+09
103,5.57183e+09
104,4.79948e+09
105,7.65933e+09
106,9.12658e+09
107,8.23819e+09
108,6.91754e+09
109,9.27111e+09
110,9.25403e+09
111,8.44013e+09
112,6.02505e+09
113,5.52038e+09
114,6.58437e+09
115,9.15958e+09
116,5.48633e+09
117,5.46547e+09
118,5.36825e+09
119,5.5345e+09
120,3.90536e+09
121,3.33589e+09
122,5.77101e+09
123,9.11457e+09
124,7.13089e+09
125,5.83274e+09
126,8.55507e+09
127,9.24622e+09
128,5.84814e+09
129,7.16469e+09
130,9.42553e+09
131,3.53603e+09
132,4.26561e+09
133,5.117e+09
134,5.39789e+09
135,5.29189e+09
136,4.32416e+09
137,5.41327e+09
138,5.30926e+09
139,5.22621e+09
140,4.61641e+09
141,7.92375e+09
142,9.36037e+09
143,9.33367e+09
144,7.53243e+09
145,9.12951e+09
146,9.4885e+09
147,8.42905e+09
148,5.11204e+09
149,4.9323e+09
150,9.33681e+09
151,9.30323e+09
152,7.56413e+09
153,9.37738e+09
154,9.42558e+09
155,9.28022e+09
156,7.46841e+09
157,9.38903e+09
158,9.55973e+09
159,9.30041e+09
160,7.56198e+09
161,9.26641e+09
162,9.47216e+09
163,7.34721e+09
164,7.40481e+09
165,9.36157e+09
166,7.74348e+09
167,9.14146e+09
168,7.41352e+09
169,8.8446e+09
170,9.05539e+09
171,9.28414e+09
172,7.07102e+09
173,9.42962e+09
174,9.58742e+09
175,8.77247e+09
176,7.54949e+09
177,9.17377e+09
178,9.32607e+09
179,9.27343e+09
180,7.18275e+09
181,9.18602e+09
182,9.38151e+09
183,9.15957e+09
184,7.04238e+09
185,9.20794e+09
186,7.59897e+09
187,7.375e+09
188,7.38663e+09
189,7.77102e+09
190,8.03599e+09
191,7.43666e+09
192,6.83801e+09
193,7.68327e+09
194,8.89142e+09
195,7.01818e+09
196,6.80707e+09
197,8.10482e+09
198,7.3734e+09
199,9.04442e+09
200,6.56595e+09
201,8.84126e+09
202,7.72831e+09
203,8.45027e+09
204,6.89202e+09
205,6.46582e+09
206,7.70066e+09
207,8.63063e+09
208,6.5717e+09
209,8.37136e+09
210,8.86083e+09
211,8.0534e+09
212,7.01465e+09
213,8.80643e+09
214,8.84371e+09
215,8.60402e+09
216,7.33766e+09
217,8.53949e+09
218,8.80162e+09
219,8.70241e+09
220,7.43419e+09
221,8.66145e+09
222,8.8236e+09
223,8.9102e+09
224,7.25526e+09
225,8.46627e+09
226,8.47758e+09
227,8.51769e+09
228,7.30174e+09
229,8.00298e+09
230,8.34556e+09
231,8.11071e+09
232,6.97311e+09
233,7.68058e+09
234,8.72127e+09
235,8.01289e+09
236,7.48907e+09
237,9.14845e+09
238,8.13202e+09
239,6.79231e+09
240,7.18032e+09
241,8.32796e+09
242,8.66964e+09
243,8.14523e+09
244,7.38107e+09
245,8.56118e+09
246,9.02568e+09
247,8.52437e+09
248,7.46366e+09
249,8.50487e+09
250,7.04985e+09
251,8.19064e+09
252,7.40659e+09
253,7.98426e+09
254,8.50568e+09
255,8.45852e+09
256,7.48862e+09
257,8.36026e+09
258,8.60019e+09
259,8.46492e+09
260,7.42807e+09
261,7.82523e+09
262,9.14367e+09
263,8.54666e+09
264,7.59601e+09
265,8.87039e+09
266,9.28477e+09
267,8.84091e+09
268,7.07292e+09
269,8.66075e+09
270,8.24803e+09
271,6.93671e+09
272,6.68603e+09
273,9.15975e+09
274,9.48445e+09
275,8.31709e+09
276,7.72891e+09
277,8.15819e+09
278,7.12951e+09
279,7.5937e+09
280,7.55294e+09
281,8.93778e+09
282,9.06039e+09
283,7.90251e+09
284,7.9478e+09
285,9.05853e+09
286,8.54613e+09
287,8.4057e+09
288,7.4165e+09
289,8.75363e+09
290,8.78583e+09
291,8.56354e+09
292,7.34238e+09
293,8.7733e+09
294,7.2e+09
295,8.67074e+09
296,7.19762e+09
297,7.48034e+09
298,7.92117e+09
299,8.60339e+09
300,6.84766e+09
301,7.62013e+09
302,8.82185e+09
303,8.54823e+09
304,7.24564e+09
305,8.24991e+09
306,8.40331e+09
307,7.47642e+09
308,6.95945e+09
309,7.49444e+09
310,8.03091e+09
311,8.361e+09
312,7.23806e+09
313,8.34512e+09
314,8.16666e+09
315,8.66793e+09
316,6.9948e+09
317,8.06922e+09
318,8.35794e+09
319,8.40139e+09
320,7.33922e+09
321,8.37316e+09
322,8.36786e+09
323,7.33638e+09
324,7.71769e+09
325,8.85226e+09
326,9.01685e+09
327,7.4222e+09
328,7.68128e+09
329,8.50111e+09
330,8.49696e+09
331,7.40838e+09
332,7.43689e+09
333,8.59154e+09
334,8.40074e+09
335,8.25318e+09
336,7.63596e+09
337,8.91238e+09
338,6.32318e+09
339,7.88802e+09
340,7.46885e+09
341,8.19923e+09
342,8.53631e+09
343,9.15674e+09
344,8.23475e+09
345,9.13745e+09
346,8.75547e+09
347,8.74559e+09
348,7.48533e+09
349,8.64258e+09
350,8.97191e+09
351,8.24485e+09
352,7.79347e+09
353,8.50268e+09
354,8.93217e+09
355,8.56656e+09
356,7.8062e+09
357,8.19408e+09
358,8.8561e+09
359,8.64431e+09
360,7.8227e+09
361,8.43321e+09
362,8.07877e+09
363,8.58633e+09
364,8.01035e+09
365,8.02776e+09
366,6.93282e+09
367,8.31193e+09
368,8.16562e+09
369,8.03906e+09
370,8.69572e+09
371,8.3248e+09
372,8.28187e+09
373,7.97056e+09
374,7.80265e+09
375,8.04061e+09
376,8.15733e+09
377,7.81781e+09
378,8.10108e+09
379,8.29558e+09
380,7.7498e+09
381,7.7451e+09
382,8.1633e+09
383,7.83688e+09
384,8.45661e+09
385,7.54277e+09
386,8.12636e+09
387,8.22313e+09
388,8.30882e+09
389,8.21362e+09
390,8.23576e+09
391,8.29684e+09
392,7.90605e+09
393,7.8848e+09
394,8.01118e+09
395,8.17327e+09
396,8.51655e+09
397,8.28898e+09
398,8.38534e+09
399,8.37237e+09
400,8.17956e+09
401,7.94102e+09
402,8.49654e+09
403,8.12665e+09
404,8.51256e+09
405,8.396e+09
406,8.39357e+09
407,8.0294e+09
408,9.00399e+09
409,8.01161e+09
410,8.27083e+09
411,8.17774e+09
412,8.85622e+09
413,8.37581e+09
414,8.62212e+09
415,8.30195e+09
416,8.9342e+09
417,8.25487e+09
418,8.54264e+09
419,8.13677e+09
420,8.85764e+09
421,8.3253e+09
422,8.26681e+09
423,7.89025e+09
424,8.75343e+09
425,8.20941e+09
426,8.57408e+09
427,8.30059e+09
428,9.0111e+09
429,8.48449e+09
430,8.69569e+09
431,8.18317e+09
432,8.81961e+09
433,8.4121e+09
434,8.31068e+09
435,8.32343e+09
436,9.14905e+09
437,8.35402e+09
438,8.48536e+09
439,8.18876e+09
440,9.18132e+09
441,8.37009e+09
442,8.62335e+09
443,8.41413e+09
444,8.9531e+09
445,8.65679e+09
446,8.88746e+09
447,8.75591e+09
448,9.44854e+09
449,9.01759e+09
450,9.27189e+09
451,8.60782e+09
452,9.15725e+09
453,8.01283e+09
454,8.51681e+09
455,8.07518e+09
456,9.11015e+09
457,8.37568e+09
458,8.52148e+09
459,8.47795e+09
460,9.08122e+09
461,8.41543e+09
462,8.67275e+09
463,8.28492e+09
464,8.64094e+09
465,8.52909e+09
466,9.07124e+09
467,8.39126e+09
468,9.24026e+09
469,8.68322e+09
470,8.82506e+09
472,9.26365e+09
473,8.46857e+09
474,8.41595e+09
475,8.39528e+09
476,9.41899e+09
477,8.50338e+09
478,7.92014e+09
479,8.85054e+09
480,9.50596e+09
481,8.94104e+09
482,8.75871e+09
483,7.59656e+09
484,9.73691e+09
485,8.47243e+09
486,9.15356e+09
487,7.92021e+09
488,9.5183e+09
489,9.10778e+09
490,8.68822e+09
491,8.55797e+09
492,9.58407e+09
493,8.7227e+09
494,8.12235e+09
495,8.99394e+09
496,9.5484e+09
497,7.82821e+09
498,9.53363e+09
499,9.22383e+09
500,9.12671e+09
501,9.16303e+09
502,9.1575e+09
503,8.54442e+09
504,8.66919e+09
505,9.27061e+09
506,9.47102e+09
507,8.87231e+09
508,8.66363e+09
509,9.05538e+09
510,9.45332e+09
511,8.92445e+09
512,9.10453e+09
