n,flops_per_sec
2,5.18471e+06
4,2.37433e+07
6,2.59995e+06
8,1.16562e+08
10,4.00625e+07
12,5.83899e+07
14,1.04063e+08
16,1.87184e+08
18,4.02624e+07
20,5.47883e+07
22,7.46233e+07
24,9.47304e+07
26,1.20889e+08
28,1.45224e+08
30,1.85163e+08
32,2.30851e+08
34,3.07851e+07
36,3.6568e+07
38,4.42513e+07
40,5.07521e+07
42,5.61243e+07
44,6.63575e+07
46,7.3618e+07
48,8.69831e+07
50,9.57905e+07
52,7.41416e+07
54,1.10143e+08
56,6.43518e+07
58,1.34364e+08
60,1.39122e+08
62,1.73617e+08
64,1.4709e+08
66,2.36387e+07
68,3.04894e+07
70,3.08066e+07
72,3.5875e+07
74,3.62458e+07
76,4.20806e+07
78,4.22632e+07
80,4.87293e+07
82,4.87366e+07
84,5.62691e+07
86,5.60008e+07
88,6.45303e+07
90,6.45011e+07
92,7.32931e+07
94,7.31069e+07
96,8.28222e+07
98,8.18742e+07
100,9.3223e+07
102,9.16389e+07
104,1.0407e+08
106,1.04219e+08
108,1.15267e+08
110,1.16896e+08
112,1.27492e+08
114,1.30011e+08
116,1.41506e+08
118,1.42787e+08
120,1.58093e+08
122,1.56951e+08
124,1.73998e+08
126,1.72174e+08
128,1.93611e+08
130,2.67659e+07
132,2.55759e+07
134,2.56065e+07
136,3.0381e+07
138,3.03144e+07
140,3.04154e+07
142,3.05772e+07
144,3.55821e+07
146,3.57908e+07
148,3.58145e+07
150,3.59144e+07
152,4.17189e+07
154,4.18954e+07
156,4.18505e+07
158,4.18777e+07
160,4.77982e+07
162,4.72605e+07
164,4.75335e+07
166,4.52948e+07
168,5.36139e+07
170,5.55993e+07
172,5.51326e+07
174,5.52701e+07
176,6.06634e+07
178,6.05161e+07
180,6.14208e+07
182,6.15515e+07
184,6.98478e+07
186,7.15343e+07
188,7.23086e+07
190,7.25658e+07
192,8.17356e+07
194,8.09468e+07
196,8.1348e+07
198,8.13828e+07
200,9.10038e+07
202,9.14428e+07
204,9.13285e+07
206,9.01096e+07
208,9.94107e+07
210,1.01158e+08
212,1.01111e+08
214,1.00904e+08
216,1.1278e+08
218,1.12081e+08
220,1.11939e+08
222,1.1192e+08
224,1.24881e+08
226,1.25728e+08
228,1.24963e+08
230,1.25759e+08
232,1.38093e+08
234,1.38865e+08
236,1.38184e+08
238,1.39641e+08
240,1.52436e+08
242,1.51088e+08
244,1.51999e+08
246,1.35002e+08
248,1.63321e+08
250,1.63888e+08
252,1.67495e+08
254,1.70878e+08
256,1.86564e+08
258,2.6389e+07
260,2.6586e+07
262,2.62052e+07
264,2.52059e+07
266,2.49408e+07
268,2.39482e+07
270,2.42742e+07
272,2.92917e+07
274,2.88107e+07
276,2.87658e+07
278,2.87614e+07
280,2.88471e+07
282,2.89374e+07
284,2.93397e+07
286,3.00201e+07
288,3.51014e+07
290,3.50796e+07
292,3.43762e+07
294,3.41141e+07
296,3.51762e+07
298,3.52492e+07
300,3.52503e+07
302,3.53038e+07
304,4.09796e+07
306,4.09939e+07
308,4.10304e+07
310,4.09503e+07
312,4.1147e+07
314,4.06037e+07
316,4.07556e+07
318,3.98519e+07
320,4.51653e+07
322,4.58891e+07
324,4.68491e+07
326,4.73622e+07
328,4.72847e+07
330,4.47489e+07
332,4.4659e+07
334,4.49264e+07
336,5.14949e+07
338,5.16854e+07
340,5.21077e+07
342,5.43522e+07
344,5.46559e+07
346,5.45993e+07
348,5.45968e+07
350,5.4453e+07
352,6.21944e+07
354,6.20229e+07
356,6.2051e+07
358,6.22509e+07
360,6.23531e+07
362,6.24329e+07
364,6.21685e+07
366,5.9437e+07
368,6.71731e+07
370,6.7481e+07
372,6.75385e+07
374,6.94377e+07
376,7.11962e+07
378,7.11465e+07
380,7.12722e+07
382,7.12997e+07
384,8.00151e+07
386,7.57512e+07
388,7.71792e+07
390,8.05803e+07
392,8.07774e+07
394,8.01786e+07
396,8.02441e+07
398,8.05866e+07
400,9.05239e+07
402,9.04203e+07
404,8.94109e+07
406,9.00665e+07
408,8.9795e+07
410,8.49931e+07
412,8.52662e+07
414,8.58399e+07
416,9.60893e+07
418,9.64061e+07
420,9.63859e+07
422,9.67004e+07
424,9.67737e+07
426,9.71268e+07
428,9.71144e+07
430,9.69837e+07
432,1.07718e+08
434,1.03562e+08
436,1.05855e+08
438,1.0689e+08
440,1.07188e+08
442,1.07358e+08
444,1.0726e+08
446,1.06145e+08
448,1.18375e+08
450,1.22943e+08
452,1.2592e+08
454,1.23627e+08
456,1.19626e+08
458,1.20041e+08
460,1.20467e+08
462,1.20571e+08
464,1.32494e+08
466,1.36715e+08
468,1.38837e+08
470,1.39345e+08
472,1.39306e+08
474,1.39241e+08
476,1.39566e+08
478,1.39329e+08
480,1.53666e+08
482,1.51681e+08
484,1.51642e+08
486,1.49919e+08
488,1.51253e+08
490,1.49078e+08
492,1.51399e+08
494,1.47766e+08
496,1.60621e+08
498,1.60366e+08
500,1.63941e+08
502,1.64491e+08
504,1.66167e+08
506,1.67947e+08
508,1.68268e+08
510,1.66473e+08
512,1.76581e+08
