MessageSize(Bytes),Bandwidth(Bytes/sec)
8,765599.08
16,16243654.82
32,41540458.68
64,84768211.92
128,144796380.09
256,91189741.15
512,464469307.53
1024,10445959.50
2048,462483.75
4096,106226821.23
8192,136960192.60
16384,190927524.30
32768,445718016.61
65536,887544635.00
131072,1172274394.06
262144,1313533150.16
524288,1554502219.78
1048576,1522039302.59
2097152,1589492877.11
4194304,1589502715.74
8388608,1684582680.65
16777216,1717506141.26
33554432,1734867499.31
67108864,1742891161.79
134217728,1736049245.10
268435456,1747921985.07
