BufferSize_Bytes,H2D_Bandwidth_GBs,D2H_Bandwidth_GBs
1,0.000,0.000
2,0.000,0.000
4,0.000,0.000
8,0.001,0.001
16,0.002,0.002
32,0.003,0.003
64,0.006,0.007
128,0.013,0.014
256,0.025,0.027
512,0.050,0.054
1024,0.099,0.110
2048,0.196,0.220
4096,0.388,0.437
8192,0.754,0.847
16384,1.402,1.574
32768,2.452,2.821
65536,4.112,4.644
131072,6.081,6.819
262144,8.147,8.987
524288,9.769,10.665
1048576,10.829,11.709
2097152,11.435,12.405
4194304,11.807,12.774
8388608,11.987,12.954
16777216,12.088,13.064
33554432,12.136,13.119
67108864,12.164,13.147
134217728,12.179,13.158
268435456,12.184,13.168
536870912,12.190,13.172
1073741824,12.149,13.173
2147483648,12.187,13.175
